keyword_id,keyword,search_volume,cluster_id,is_noise,cluster_size,representative_keyword,cluster_total_volume,membership_probability,cluster_avg_probability
2,wechat pay,3600,25,false,13,wechat pay,11850,1.0,0.980474
5,news wechat,170,28,false,182,hylink,55540,1.0,0.981933
6,how to get a chinese phone number for douyin,40,37,false,12,what is douyin,2840,1.0,1.0
7,weibo what is it,480,24,false,55,weidian,12300,1.0,0.896853
9,little red book chinese app,140,17,false,48,what is little red book,8520,1.0,0.937275
10,top apps china,50,35,false,107,chinese social media,16720,1.0,0.976552
13,redbook chinese,480,17,false,48,what is little red book,8520,1.0,0.937275
15,wechat mini programs,480,27,false,22,wechat mini programs,2410,1.0,0.832545
16,jd china website,70,51,false,51,jing dong,19110,0.578718,0.639117
17,alibaba and singles day,50,19,false,25,single day 2025,7500,0.781728,0.885399
18,jd com online shopping,260,51,false,51,jing dong,19110,0.706587,0.639117
19,jd e-commerce,50,51,false,51,jing dong,19110,0.298189,0.639117
20,singles day alibaba sales,40,19,false,25,single day 2025,7500,0.781728,0.885399
21,jd china company,30,51,false,51,jing dong,19110,0.44698,0.639117
22,taobao and tmall,90,12,false,47,taobao mall,19270,0.173092,0.622651
25,top china apps,90,35,false,107,chinese social media,16720,1.0,0.976552
26,jingdong china,170,51,false,51,jing dong,19110,0.65404,0.639117
37,jd ecommerce,50,-1,true,239,sogou,43770,0.0,0.0
43,wecom,2400,24,false,55,weidian,12300,0.407203,0.896853
49,market entry strategies for china,90,56,false,29,marketing kol,4290,1.0,0.70558
50,market entry strategy in china,90,56,false,29,marketing kol,4290,1.0,0.70558
51,chinese kols,30,55,false,25,wofe,3350,0.55229,0.756131
52,china entry strategy,70,56,false,29,marketing kol,4290,1.0,0.70558
53,triboo,70,12,false,47,taobao mall,19270,0.136135,0.622651
55,search wechat,50,28,false,182,hylink,55540,1.0,0.981933
56,cdn for china,90,-1,true,239,sogou,43770,0.0,0.0
58,wechat service accounts,50,28,false,182,hylink,55540,1.0,0.981933
59,wechat search engine,30,5,false,52,chinese search engine,18000,0.663979,0.908227
63,wechat search,50,28,false,182,hylink,55540,0.819717,0.981933
64,webuy china,40,59,false,21,chinese online shopping,12160,1.0,0.891961
66,wechat artificial intelligence,70,28,false,182,hylink,55540,1.0,0.981933
68,chinese e-commerce market,50,52,false,76,china cross,12460,0.985856,0.704906
73,what is wecom,210,24,false,55,weidian,12300,0.443566,0.896853
74,douyin streaming,30,38,false,39,douyin,119660,0.48794,0.714357
75,cdn in china,90,-1,true,239,sogou,43770,0.0,0.0
79,akamai china,50,62,false,57,china market,39670,0.902869,0.935614
81,average china income,5400,9,false,24,average wage china,29410,0.575899,0.800411
90,skincare in china,50,49,false,61,chinese beauty brands,7930,1.0,0.873949
97,china tmall,390,11,false,36,tmall site,21260,0.666497,0.781541
98,vip shop,480,45,false,16,vipshop,3150,1.0,0.998396
99,tmall china,390,11,false,36,tmall site,21260,0.655377,0.781541
100,dewu shoes,40,21,false,14,dewu,1660,0.90556,0.983396
101,market entry strategy china,70,56,false,29,marketing kol,4290,1.0,0.70558
103,market entry strategies china,90,56,false,29,marketing kol,4290,1.0,0.70558
104,entry strategy china,90,56,false,29,marketing kol,4290,1.0,0.70558
105,kwai china,40,62,false,57,china market,39670,0.867804,0.935614
107,home appliances in china,40,44,false,16,ikea china,1420,1.0,0.938969
108,market entry in china,90,56,false,29,marketing kol,4290,1.0,0.70558
109,market entry strategy for china,90,56,false,29,marketing kol,4290,1.0,0.70558
